"fixture","class","subclass","idA","idB","idC","row","value","limit","relation","note"
"Real 375","c","c-arc-inside","WIBIVP","__dup_WIBIVP_1","4U7JTW",2,0.564509104145793,25,NA,"individual-duplicate-individual"
"Real 375","c","c-arc-inside","__dup_GTKL5Z_1","GTKL5Z","8UE4L3",1,10.0453610224161,25,NA,"duplicate-individual-individual"
"Real 375","c","c-arc-inside","8PHUQL","__dup_8PHUQL_1","5GQC24",0,15.5032963136902,25,NA,"individual-duplicate-individual"
"Real 375","c","c-arc-inside","8PHUQL","__dup_8PHUQL_1","__dup_5A6DFT_3",0,15.5476265255838,25,NA,"individual-duplicate-duplicate"
"Real 375","c","c-arc-inside","JE4WD7","__dup_JE4WD7_1","EKP7IN",3,10.2224991019537,25,NA,"individual-duplicate-individual"
"Real 375","c","c-arc-inside","JE4WD7","__dup_JE4WD7_1","K9TMQP",3,19.1487679198222,25,NA,"individual-duplicate-individual"
"Real 375","c","c-arc-inside","JE4WD7","__dup_JE4WD7_1","__dup_9C6NW8_2",3,13.9097131729794,25,NA,"individual-duplicate-duplicate"
"Real 375","c","c-arc-inside","__dup_6PQJV5_1","6PQJV5","P2VQJR",1,8.53785180198121,25,NA,"duplicate-individual-individual"
"Real 375","c","c-arc-inside","__dup_ELGVC6_1","ELGVC6","RD3WB2",0,20.234136673571,25,NA,"duplicate-individual-individual"
"Real 375","c","c-arc-inside","__dup_ELGVC6_1","ELGVC6","__dup_7NBKWE_3",1,12.1379508139155,25,NA,"duplicate-individual-duplicate"
"Real 375","c","c-arc-inside","__dup_ELGVC6_1","ELGVC6","__union_102",1,2.25243692561036,6,NA,"duplicate-individual-union"
"Real 375","c","c-arc-inside","__dup_ELGVC6_2","ELGVC6","6PX6PS",2,21.9939777466385,25,NA,"duplicate-individual-individual"
"Real 375","c","c-arc-inside","__dup_ELGVC6_2","ELGVC6","BT0V1U",3,3.31562694843369,25,NA,"duplicate-individual-individual"
"Real 375","c","c-arc-inside","__dup_F2H56G_1","F2H56G","R4V1JU",1,23.6706202092383,25,NA,"duplicate-individual-individual"
"Real 375","c","c-arc-inside","__dup_F2H56G_1","F2H56G","__dup_5A6DFT_2",0,18.7952605407182,25,NA,"duplicate-individual-duplicate"
"Real 375","c","c-arc-inside","__dup_F2H56G_1","F2H56G","__union_90",1,3.62678738165575,6,NA,"duplicate-individual-union"
"Real 375","c","c-arc-inside","__dup_ASAF1T_1","ASAF1T","772Q3D",2,10.9215756097774,25,NA,"duplicate-individual-individual"
"Real 375","c","c-arc-inside","__dup_ASAF1T_1","ASAF1T","YJXSIZ",3,2.29656570288966,25,NA,"duplicate-individual-individual"
"Real 375","c","c-arc-inside","__dup_ASAF1T_1","ASAF1T","__dup_LUPGF8_1",2,18.3507651478101,25,NA,"duplicate-individual-duplicate"
"Real 375","c","c-arc-inside","__dup_LUPGF8_2","LUPGF8","37FSQA",1,20.78386229174,25,NA,"duplicate-individual-individual"
"Real 375","c","c-arc-inside","__dup_LUPGF8_2","LUPGF8","BH6ZQK",1,18.4423570898366,25,NA,"duplicate-individual-individual"
"Real 375","c","c-arc-inside","__dup_LUPGF8_2","LUPGF8","HWQS19",3,17.7017774433879,25,NA,"duplicate-individual-individual"
"Real 375","c","c-arc-inside","__dup_2FPL16_1","2FPL16","BH6ZQK",1,6.0276752575142,25,NA,"duplicate-individual-individual"
"Real 375","c","c-arc-inside","__dup_2FPL16_1","2FPL16","__dup_M0YNUR_1",1,4.94893700976478,25,NA,"duplicate-individual-duplicate"
"Real 375","c","c-arc-inside","__dup_772Q3D_1","772Q3D","HCY8QM",0,20.8538693398979,25,NA,"duplicate-individual-individual"
"Real 375","c","c-arc-inside","DKMJ2Z","__dup_DKMJ2Z_1","UZCIN5",0,1.81492026728312,25,NA,"individual-duplicate-individual"
"Real 375","c","c-arc-inside","DKMJ2Z","__dup_DKMJ2Z_1","9CZSZM",2,20.8391005350161,25,NA,"individual-duplicate-individual"
"Real 375","c","c-arc-inside","DKMJ2Z","__dup_DKMJ2Z_1","__union_167",3,0.658710185861539,6,NA,"individual-duplicate-union"
"Real 375","c","c-arc-inside","__dup_9C6NW8_3","9C6NW8","I8ABQE",0,14.5439895077349,25,NA,"duplicate-individual-individual"
"Real 375","c","c-arc-inside","__dup_9C6NW8_3","9C6NW8","__dup_SLN0TF_1",1,3.98886069533699,25,NA,"duplicate-individual-duplicate"
"Real 375","c","c-arc-inside","L07M06","__dup_L07M06_2","RF8KMZ",3,4.6675196940726,25,NA,"individual-duplicate-individual"
"Real 375","c","c-arc-inside","L07M06","__dup_L07M06_2","__dup_0ZISJ0_1",2,17.8412376371609,25,NA,"individual-duplicate-duplicate"
"Real 375","c","c-arc-inside","L07M06","__dup_L07M06_2","__union_121",2,5.46582651099493,6,NA,"individual-duplicate-union"
"Real 375","c","c-arc-inside","__dup_B2U6J7_1","B2U6J7","S7MA0G",4,21.1805979198602,25,NA,"duplicate-individual-individual"
"Real 375","c","c-arc-inside","__dup_B2U6J7_1","B2U6J7","IMF6BL",4,18.1356148799449,25,NA,"duplicate-individual-individual"
"Real 375","c","c-arc-inside","270UK6","__dup_270UK6_1","FJIB3R",2,1.64118227377984,25,NA,"individual-duplicate-individual"
"Real 375","c","c-arc-inside","9JC6RF","__dup_9JC6RF_1","X20HK8",2,12.9655912970851,25,NA,"individual-duplicate-individual"
"Real 375","c","c-arc-inside","9JC6RF","__dup_9JC6RF_1","8FLD1J",2,13.2512094084697,25,NA,"individual-duplicate-individual"
"Real 375","c","c-arc-inside","9JC6RF","__dup_9JC6RF_1","__dup_5A6DFT_3",0,12.4044057208666,25,NA,"individual-duplicate-duplicate"
"Real 375","c","c-arc-inside","9JC6RF","__dup_9JC6RF_1","__dup_D1WP48_2",1,22.6619304221806,25,NA,"individual-duplicate-duplicate"
"Real 375","c","c-arc-inside","__dup_T6UQVX_1","T6UQVX","23T5N2",5,9.9662682997054,25,NA,"duplicate-individual-individual"
"Real 375","c","c-arc-inside","__dup_T6UQVX_1","T6UQVX","P9RX04",5,9.13617205125719,25,NA,"duplicate-individual-individual"
"Real 375","c","c-arc-inside","__dup_T6UQVX_1","T6UQVX","__dup_8GSXTQ_1",5,19.2038735748491,25,NA,"duplicate-individual-duplicate"
"Real 375","c","c-arc-inside","SPHGC9","__dup_SPHGC9_1","PHCADH",4,0.131750915658673,25,NA,"individual-duplicate-individual"
"Real 375","c","c-arc-inside","SPHGC9","__dup_SPHGC9_1","__dup_1Y8P15_2",3,24.8184146444272,25,NA,"individual-duplicate-duplicate"
"Real 375","c","c-arc-inside","__dup_8GSXTQ_1","8GSXTQ","ED5PDV",4,11.3508355806118,25,NA,"duplicate-individual-individual"
"Real 375","c","c-arc-inside","__dup_8GSXTQ_1","8GSXTQ","__dup_LUPGF8_4",4,11.6647577995972,25,NA,"duplicate-individual-duplicate"
"Real 375","c","c-arc-inside","__dup_7WQYLL_1","7WQYLL","__dup_2FPL16_1",4,7.16124444142796,25,NA,"duplicate-individual-duplicate"
"Real 375","c","c-arc-inside","__dup_FIL6AB_2","FIL6AB","W37STC",5,17.8365550713965,25,NA,"duplicate-individual-individual"
"Real 375","c","c-arc-inside","__dup_FIL6AB_2","FIL6AB","__dup_YJXSIZ_1",5,20.7036104862714,25,NA,"duplicate-individual-duplicate"
"Real 375","c","c-arc-inside","HWQS19","__dup_HWQS19_1","P49ZD1",3,6.78335942451989,25,NA,"individual-duplicate-individual"
"Real 375","c","c-arc-inside","HWQS19","__dup_HWQS19_1","__dup_ELGVC6_1",4,2.74538028773105,25,NA,"individual-duplicate-duplicate"
"Real 375","c","c-arc-inside","__dup_FIL6AB_3","FIL6AB","A792ZU",4,2.0232366265549,25,NA,"duplicate-individual-individual"
"Real 375","c","c-arc-inside","__dup_FIL6AB_3","FIL6AB","__dup_2FPL16_1",4,10.0352817581393,25,NA,"duplicate-individual-duplicate"
"Real 375","c","c-arc-inside","__dup_YJXSIZ_1","YJXSIZ","HPGUPS",3,19.0890753579198,25,NA,"duplicate-individual-individual"
"Real 375","c","c-arc-inside","__dup_YJXSIZ_1","YJXSIZ","S0ZHJP",3,9.00216946293349,25,NA,"duplicate-individual-individual"
"Real 375","c","c-arc-inside","__dup_YJXSIZ_1","YJXSIZ","__dup_79RXRZ_1",3,4.60888318992569,25,NA,"duplicate-individual-duplicate"
"Real 375","c","c-arc-inside","__dup_YJXSIZ_1","YJXSIZ","__dup_8PHUQL_1",3,21.730815811032,25,NA,"duplicate-individual-duplicate"
"Real 375","c","c-arc-inside","__dup_YJXSIZ_1","YJXSIZ","__union_146",3,2.30611315271387,6,NA,"duplicate-individual-union"
"Real 375","c","c-arc-inside","__dup_ED5PDV_2","ED5PDV","4WWCPB",1,13.5964244864667,25,NA,"duplicate-individual-individual"
"Real 375","c","c-arc-inside","__dup_ED5PDV_2","ED5PDV","BM40IX",0,21.555640690462,25,NA,"duplicate-individual-individual"
"Real 375","c","c-arc-inside","__dup_ED5PDV_2","ED5PDV","28XSME",0,9.10898422629048,25,NA,"duplicate-individual-individual"
"Real 375","c","c-arc-inside","__dup_ED5PDV_2","ED5PDV","79RXRZ",2,14.8470606733662,25,NA,"duplicate-individual-individual"
"Real 375","c","c-arc-inside","__dup_ED5PDV_2","ED5PDV","__dup_4U7JTW_1",2,20.3412021154728,25,NA,"duplicate-individual-duplicate"
"Real 375","c","c-arc-inside","__dup_LLYLLX_1","LLYLLX","30YDZU",3,4.94483997137101,25,NA,"duplicate-individual-individual"
"Real 375","c","c-arc-inside","__dup_LLYLLX_1","LLYLLX","__dup_772Q3D_1",4,0.266011720817308,25,NA,"duplicate-individual-duplicate"
"Real 375","c","c-arc-inside","__dup_0P4BCQ_1","0P4BCQ","E06FRB",4,7.92703831860245,25,NA,"duplicate-individual-individual"
"Real 375","c","c-arc-inside","__dup_Q82XRQ_1","Q82XRQ","__dup_6PQJV5_1",4,20.4310293210388,25,NA,"duplicate-individual-duplicate"
"Real 375","c","c-arc-inside","__dup_81MJXH_2","81MJXH","30YDZU",3,22.966323470642,25,NA,"duplicate-individual-individual"
"Real 375","c","c-arc-inside","__dup_IQLWH8_1","IQLWH8","__dup_DKMJ2Z_1",4,21.4569042977314,25,NA,"duplicate-individual-duplicate"
"Real 375","c","c-arc-inside","EKP7IN","__dup_EKP7IN_1","1TGPDW",4,2.18977043692523,25,NA,"individual-duplicate-individual"
"Real 375","c","c-arc-inside","EKP7IN","__dup_EKP7IN_1","NKNRU0",5,13.4833088675048,25,NA,"individual-duplicate-individual"
"Real 375","c","c-arc-inside","__dup_5LLJMI_1","5LLJMI","__dup_J33BE0_1",4,11.8802840987994,25,NA,"duplicate-individual-duplicate"
"Real 375","c","c-arc-inside","7VEH10","__dup_7VEH10_1","X20HK8",2,13.8565108410403,25,NA,"individual-duplicate-individual"
