"fixture","class","subclass","idA","idB","idC","row","value","limit","relation","note"
"Real 375","c","c2-horizontal-offset-row","__jog_36_a","__jog_36_b","8P17E3",1,18,25,NA,"waypoint-waypoint-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_36_a","__jog_36_b","HKTQ40",1,18,25,NA,"waypoint-waypoint-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_36_a","__jog_36_b","P4KR40",1,18,25,NA,"waypoint-waypoint-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_36_a","__jog_36_b","__dup_G8EBU9_1",1,18,25,NA,"waypoint-waypoint-duplicate"
"Real 375","c","c2-vertical","__jog_36_b","__union_65","P4KR40",1,15,25,NA,"waypoint-union-individual"
"Real 375","c","c2-vertical","__jog_37_b","__union_66","8LWCAD",1,15,25,NA,"waypoint-union-individual"
"Real 375","c","c2-vertical","__jog_38_b","__union_67","D0Z114",1,0,25,NA,"waypoint-union-individual"
"Real 375","c","c2-vertical","__jog_39_b","__union_68","HKTQ40",1,19.8200000000006,25,NA,"waypoint-union-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_40_a","__jog_40_b","HJ555Y",1,9,25,NA,"waypoint-waypoint-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_40_a","__jog_40_b","4WWCPB",1,9,25,NA,"waypoint-waypoint-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_40_a","__jog_40_b","DLZL49",1,9,25,NA,"waypoint-waypoint-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_40_a","__jog_40_b","8PHUQL",1,9,25,NA,"waypoint-waypoint-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_40_a","__jog_40_b","8LWCAD",1,9,25,NA,"waypoint-waypoint-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_40_a","__jog_40_b","EQNDAY",1,9,25,NA,"waypoint-waypoint-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_40_a","__jog_40_b","JR9GXD",1,9,25,NA,"waypoint-waypoint-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_40_a","__jog_40_b","M0YNUR",1,9,25,NA,"waypoint-waypoint-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_40_a","__jog_40_b","N2JRUE",1,9,25,NA,"waypoint-waypoint-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_40_a","__jog_40_b","5JGJDV",1,9,25,NA,"waypoint-waypoint-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_40_a","__jog_40_b","1W4GNT",1,9,25,NA,"waypoint-waypoint-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_40_a","__jog_40_b","DU300Q",1,9,25,NA,"waypoint-waypoint-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_40_a","__jog_40_b","0Q077X",1,9,25,NA,"waypoint-waypoint-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_40_a","__jog_40_b","CAN12C",1,9,25,NA,"waypoint-waypoint-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_40_a","__jog_40_b","0L5AWR",1,9,25,NA,"waypoint-waypoint-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_40_a","__jog_40_b","__dup_1X40V5_2",1,9,25,NA,"waypoint-waypoint-duplicate"
"Real 375","c","c2-horizontal-offset-row","__jog_40_a","__jog_40_b","__dup_RYP77M_2",1,9,25,NA,"waypoint-waypoint-duplicate"
"Real 375","c","c2-horizontal-offset-row","__jog_40_a","__jog_40_b","__dup_RYP77M_3",1,9,25,NA,"waypoint-waypoint-duplicate"
"Real 375","c","c2-horizontal-offset-row","__jog_40_a","__jog_40_b","__dup_RYP77M_4",1,9,25,NA,"waypoint-waypoint-duplicate"
"Real 375","c","c2-horizontal-offset-row","__jog_40_a","__jog_40_b","__dup_L31S6S_5",1,9,25,NA,"waypoint-waypoint-duplicate"
"Real 375","c","c2-vertical","__jog_40_b","__union_70","__dup_RYP77M_4",1,17.119999999999,25,NA,"waypoint-union-duplicate"
"Real 375","c","c2-vertical","__jog_41_b","__union_72","__dup_D8FYZV_3",1,22.3799999999992,25,NA,"waypoint-union-duplicate"
"Real 375","c","c2-vertical","__jog_45_b","__union_77","XEE9GT",1,0.0600000000004002,25,NA,"waypoint-union-individual"
"Real 375","c","c2-vertical","__jog_46_b","__union_78","__dup_E2D59U_1",1,17,25,NA,"waypoint-union-duplicate"
"Real 375","c","c2-vertical","__jog_47_b","__union_83","JB7EW2",1,0.119999999999891,25,NA,"waypoint-union-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_48_a","__jog_48_b","BCH8AH",1,9,25,NA,"waypoint-waypoint-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_48_a","__jog_48_b","CEA455",1,9,25,NA,"waypoint-waypoint-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_48_a","__jog_48_b","WDUGSA",1,9,25,NA,"waypoint-waypoint-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_48_a","__jog_48_b","S0022Z",1,9,25,NA,"waypoint-waypoint-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_48_a","__jog_48_b","JB7EW2",1,9,25,NA,"waypoint-waypoint-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_48_a","__jog_48_b","XEE9GT",1,9,25,NA,"waypoint-waypoint-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_48_a","__jog_48_b","RYP77M",1,9,25,NA,"waypoint-waypoint-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_48_a","__jog_48_b","P2VQJR",1,9,25,NA,"waypoint-waypoint-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_48_a","__jog_48_b","GTKL5Z",1,9,25,NA,"waypoint-waypoint-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_48_a","__jog_48_b","SNHNX6",1,9,25,NA,"waypoint-waypoint-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_48_a","__jog_48_b","IM1B5T",1,9,25,NA,"waypoint-waypoint-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_48_a","__jog_48_b","D0Z114",1,9,25,NA,"waypoint-waypoint-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_48_a","__jog_48_b","D1WP48",1,9,25,NA,"waypoint-waypoint-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_48_a","__jog_48_b","D472PY",1,9,25,NA,"waypoint-waypoint-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_48_a","__jog_48_b","79QBRD",1,9,25,NA,"waypoint-waypoint-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_48_a","__jog_48_b","G3XCSE",1,9,25,NA,"waypoint-waypoint-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_48_a","__jog_48_b","6XYG9B",1,9,25,NA,"waypoint-waypoint-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_48_a","__jog_48_b","L8CMNE",1,9,25,NA,"waypoint-waypoint-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_48_a","__jog_48_b","KUENM8",1,9,25,NA,"waypoint-waypoint-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_48_a","__jog_48_b","__dup_RYP77M_1",1,9,25,NA,"waypoint-waypoint-duplicate"
"Real 375","c","c2-horizontal-offset-row","__jog_48_a","__jog_48_b","__dup_E2D59U_1",1,9,25,NA,"waypoint-waypoint-duplicate"
"Real 375","c","c2-horizontal-offset-row","__jog_48_a","__jog_48_b","__dup_C6E1D9_1",1,9,25,NA,"waypoint-waypoint-duplicate"
"Real 375","c","c2-horizontal-offset-row","__jog_48_a","__jog_48_b","__dup_D8FYZV_3",1,9,25,NA,"waypoint-waypoint-duplicate"
"Real 375","c","c2-horizontal-offset-row","__jog_48_a","__jog_48_b","__dup_7NBKWE_3",1,9,25,NA,"waypoint-waypoint-duplicate"
"Real 375","c","c2-horizontal-offset-row","__jog_48_a","__jog_48_b","__dup_P87V3K_1",1,9,25,NA,"waypoint-waypoint-duplicate"
"Real 375","c","c2-horizontal-offset-row","__jog_48_a","__jog_48_b","__dup_D1WP48_2",1,9,25,NA,"waypoint-waypoint-duplicate"
"Real 375","c","c2-horizontal-offset-row","__jog_48_a","__jog_48_b","__dup_PQX22G_3",1,9,25,NA,"waypoint-waypoint-duplicate"
"Real 375","c","c2-vertical","__jog_51_b","__union_87","__dup_RYP77M_2",1,2.11999999999898,25,NA,"waypoint-union-duplicate"
"Real 375","c","c2-horizontal-offset-row","__jog_52_a","__jog_52_b","HJ555Y",1,18,25,NA,"waypoint-waypoint-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_52_a","__jog_52_b","4WWCPB",1,18,25,NA,"waypoint-waypoint-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_52_a","__jog_52_b","DLZL49",1,18,25,NA,"waypoint-waypoint-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_52_a","__jog_52_b","7JQ09V",1,18,25,NA,"waypoint-waypoint-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_52_a","__jog_52_b","8LWCAD",1,18,25,NA,"waypoint-waypoint-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_52_a","__jog_52_b","Q7F87W",1,18,25,NA,"waypoint-waypoint-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_52_a","__jog_52_b","EQNDAY",1,18,25,NA,"waypoint-waypoint-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_52_a","__jog_52_b","JR9GXD",1,18,25,NA,"waypoint-waypoint-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_52_a","__jog_52_b","M0YNUR",1,18,25,NA,"waypoint-waypoint-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_52_a","__jog_52_b","37FSQA",1,18,25,NA,"waypoint-waypoint-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_52_a","__jog_52_b","5JGJDV",1,18,25,NA,"waypoint-waypoint-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_52_a","__jog_52_b","1W4GNT",1,18,25,NA,"waypoint-waypoint-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_52_a","__jog_52_b","DU300Q",1,18,25,NA,"waypoint-waypoint-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_52_a","__jog_52_b","0Q077X",1,18,25,NA,"waypoint-waypoint-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_52_a","__jog_52_b","KNIBZ7",1,18,25,NA,"waypoint-waypoint-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_52_a","__jog_52_b","CAN12C",1,18,25,NA,"waypoint-waypoint-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_52_a","__jog_52_b","0L5AWR",1,18,25,NA,"waypoint-waypoint-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_52_a","__jog_52_b","__dup_1X40V5_2",1,18,25,NA,"waypoint-waypoint-duplicate"
"Real 375","c","c2-horizontal-offset-row","__jog_52_a","__jog_52_b","__dup_RYP77M_2",1,18,25,NA,"waypoint-waypoint-duplicate"
"Real 375","c","c2-horizontal-offset-row","__jog_52_a","__jog_52_b","__dup_CMJQGU_1",1,18,25,NA,"waypoint-waypoint-duplicate"
"Real 375","c","c2-horizontal-offset-row","__jog_52_a","__jog_52_b","__dup_D8FYZV_4",1,18,25,NA,"waypoint-waypoint-duplicate"
"Real 375","c","c2-horizontal-offset-row","__jog_52_a","__jog_52_b","__dup_L31S6S_4",1,18,25,NA,"waypoint-waypoint-duplicate"
"Real 375","c","c2-horizontal-offset-row","__jog_52_a","__jog_52_b","__dup_RYP77M_4",1,18,25,NA,"waypoint-waypoint-duplicate"
"Real 375","c","c2-horizontal-offset-row","__jog_52_a","__jog_52_b","__dup_L31S6S_5",1,18,25,NA,"waypoint-waypoint-duplicate"
"Real 375","c","c2-vertical","__jog_52_b","__union_88","__dup_CMJQGU_1",1,0.119999999999891,25,NA,"waypoint-union-duplicate"
"Real 375","c","c2-horizontal-offset-row","__jog_54_a","__jog_54_b","8933XB",1,9,25,NA,"waypoint-waypoint-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_54_a","__jog_54_b","BH6ZQK",1,9,25,NA,"waypoint-waypoint-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_54_a","__jog_54_b","__dup_SLN0TF_1",1,9,25,NA,"waypoint-waypoint-duplicate"
"Real 375","c","c2-horizontal-offset-row","__jog_55_a","__jog_55_b","__dup_E2D59U_1",1,18,25,NA,"waypoint-waypoint-duplicate"
"Real 375","c","c2-horizontal-offset-row","__jog_55_a","__jog_55_b","__dup_P87V3K_1",1,18,25,NA,"waypoint-waypoint-duplicate"
